Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Mean,STD,First_Quartile,Median,Third_Quartile
1,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995,63.7016166228495,0.43677362921801266,63.358953403902035,63.62944513629445,63.930600649350644
2,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995,63.7016166228495,0.43677362921801266,63.358953403902035,63.62944513629445,63.930600649350644
3,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995,63.7016166228495,0.43677362921801266,63.358953403902035,63.62944513629445,63.930600649350644
4,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995,63.7016166228495,0.43677362921801266,63.358953403902035,63.62944513629445,63.930600649350644
5,63.72860375214343,63.605925324675326,64.38717532467533,63.230519480519476,64.12337662337663,63.69724025974026,63.179788961038966,64.26542207792207,63.75811688311688,63.47402597402597,64.01176948051948,64.0726461038961,64.12337662337663,63.16964285714286,64.08279220779221,63.331980519480524,64.37702922077922,63.798701298701296,63.524756493506494,64.93506493506493,63.57548701298701,64.49878246753246,63.72767857142857,64.39732142857143,64.0625,64.0219155844156,63.56534090909091,64.21469155844156,64.0523538961039,63.382711038961034,63.74797077922077,63.58563311688312,62.956574675324674,63.524756493506494,63.92045454545454,63.09862012987013,63.57179096905124,63.96752917300863,64.5662100456621,63.37899543378995,64.60679857940131,64.22120750887873,64.04870624048706,63.73414510400812,63.57179096905124,63.11516996448503,63.987823439878234,65.00253678335869,64.22120750887873,63.013698630136986,63.38914256722475,63.83757791548887,0.4867566285411799,63.524756493506494,63.778409090909086,64.12337662337663
6,63.79252615237883,63.717532467532465,64.35673701298701,63.271103896103895,64.15381493506493,63.72767857142857,63.22037337662337,64.22483766233766,63.84943181818182,63.46387987012987,64.1030844155844,64.17410714285714,64.11323051948052,63.271103896103895,64.11323051948052,63.35227272727273,64.42775974025975,63.89001623376623,63.57548701298701,64.99594155844156,63.66680194805194,64.5698051948052,63.8088474025974,64.42775974025975,64.0625,64.08279220779221,63.626217532467535,64.24512987012987,64.03206168831169,63.50446428571429,63.930600649350644,63.69724025974026,63.0275974025974,63.5349025974026,63.95089285714286,63.20008116883117,63.54134956874683,64.07914764079148,64.70826991374936,63.38914256722475,64.57635717909692,64.29223744292237,64.1298833079655,63.77473363774734,63.61237950279046,63.206494165398276,64.04870624048706,65.00253678335869,64.26179604261796,63.135464231354646,63.37899543378995,63.8901362367972,0.477329223594003,63.536514340238654,63.91030844155844,64.1690340909091
7,63.87816187586879,63.89001623376623,64.3364448051948,63.372564935064936,64.0726461038961,63.930600649350644,63.291396103896105,64.13352272727273,63.930600649350644,63.5146103896104,64.16396103896103,64.15381493506493,64.11323051948052,63.46387987012987,64.0726461038961,63.57548701298701,64.51907467532467,63.92045454545454,63.63636363636363,64.8843344155844,63.69724025974026,64.53936688311688,63.84943181818182,64.41761363636364,63.8291396103896,64.12337662337663,63.74797077922077,64.24512987012987,64.0219155844156,63.36241883116883,64.0726461038961,63.47402597402597,63.159496753246756,63.545048701298704,63.971185064935064,63.331980519480524,63.72399797057331,64.17047184170472,64.79959411466261,63.55149670218163,64.44444444444444,64.55606291222729,64.1298833079655,63.67326230339929,63.63267376966007,63.37899543378995,64.06900050735668,65.08371385083714,64.65753424657534,63.074581430745816,63.37899543378995,63.933766892671,0.46387415249501973,63.557494279882974,63.930600649350644,64.16142451298701
8,63.90961575534969,63.89001623376623,64.3060064935065,63.382711038961034,64.16396103896103,63.930600649350644,63.31168831168831,64.14366883116884,64.00162337662337,63.59577922077923,64.21469155844156,64.08279220779221,64.08279220779221,63.46387987012987,64.15381493506493,63.524756493506494,64.44805194805194,63.98133116883117,63.68709415584416,64.81331168831169,63.59577922077923,64.51907467532467,63.8291396103896,64.41761363636364,63.86972402597403,64.19439935064936,63.605925324675326,64.27556818181817,64.04220779220779,63.403003246753244,64.08279220779221,63.5349025974026,63.20008116883117,63.382711038961034,63.90016233766234,63.28125,63.76458650431254,64.19076610857432,64.75900558092339,63.61237950279046,64.46473871131406,64.57635717909692,64.14003044140031,63.67326230339929,63.4703196347032,63.307965499746324,64.14003044140031,65.08371385083714,64.67782851344495,62.95281582952816,63.45002536783358,63.93153462626922,0.47067320611566094,63.550121753246756,63.95596590909091,64.1934910401306
9,63.94817212374565,63.737824675324674,64.28571428571429,62.57102272727273,64.13352272727273,64.01176948051948,63.32183441558441,64.12337662337663,63.859577922077925,62.54058441558441,62.92613636363637,64.00162337662337,64.0726461038961,63.49431818181818,64.13352272727273,63.484172077922075,64.44805194805194,63.940746753246756,63.89001623376623,64.86404220779221,63.70738636363637,64.41761363636364,63.86972402597403,64.49878246753246,63.69724025974026,63.971185064935064,63.8088474025974,64.09293831168831,64.09293831168831,63.230519480519476,63.68709415584416,63.58563311688312,63.12905844155844,63.31168831168831,63.8088474025974,63.413149350649356,63.429731100963984,64.1197361745307,64.84018264840182,63.531202435312025,64.30238457635717,64.43429731100963,64.18061897513952,63.63267376966007,63.58193810248605,63.328259766615936,64.19076610857432,65.03297818366312,64.69812278031456,62.70928462709284,63.409436834094365,63.83169525489731,0.5564306865457262,63.486708603896105,63.86465097402598,64.13352272727273
10,63.97536450987753,63.50446428571429,64.12337662337663,63.017451298701296,64.09293831168831,63.92045454545454,63.28125,64.03206168831169,63.83928571428571,62.32751623376623,63.64650974025974,63.961038961038966,64.08279220779221,63.44358766233766,64.0625,63.34212662337663,64.42775974025975,63.87987012987013,63.72767857142857,64.8031655844156,63.626217532467535,64.39732142857143,63.87987012987013,64.46834415584416,63.737824675324674,63.930600649350644,63.58563311688312,63.95089285714286,64.13352272727273,63.159496753246756,63.64650974025974,63.49431818181818,63.0478896103896,63.372564935064936,63.7885551948052,63.413149350649356,63.38914256722475,63.96752917300863,64.79959411466261,63.4906139015728,64.21106037544394,64.31253170979198,64.1197361745307,63.50076103500761,63.64282090309488,63.31811263318112,64.17047184170472,65.08371385083714,64.62709284627093,62.77016742770167,63.31811263318112,63.79740000296507,0.5296237205301239,63.45534422214645,63.81392045454545,64.1130367088201
